" 
Nome",NIF,Tipo Entidade,Escalão Dívida
CSJS CONSTRUCAO CIVIL LD,506367240,Pessoa Coletiva,10000 a 50000
"JIRTOP - TOPOGRAFIA, ESTUDOS E PROJECTOS, UNIPESSOAL LDA - SOCIEDADE EM LIQUIDAÇÃO",506367614,Pessoa Coletiva,10000 a 50000
"ANGELINO COSTA ALMEIDA REPARACOES MECANICAS, UNIPESSOAL LDA",506367940,Pessoa Coletiva,10000 a 50000
"MOLDESPINA - FABRICO MOLDES PARA INJECÇÃO PLÁSTICA, UNIPESSOAL, LDA",506368807,Pessoa Coletiva,10000 a 50000
ANTÓNIO VICENTE - ALUGUER E ORGANIZAÇÃO DE EVENTOS LDA - EM LIQUIDAÇÃO,506370283,Pessoa Coletiva,10000 a 50000
PATRÃO & PATRÃO LDA,506370453,Pessoa Coletiva,10000 a 50000
MACAU & INÁCIO - ASSISTÊNCIA E COMERCIALIZAÇÃO DE ELECTRODOMÉSTICOS LDA,506371131,Pessoa Coletiva,10000 a 50000
OLIVEIRA & PIEDADE LDA,506372600,Pessoa Coletiva,10000 a 50000
CHEIRINHOS DO SOL LIMPEZAS E MANUTENÇÃO DE ESPAÇOS DOMÉSTICOS E COMERCIAIS UNIPESSOAL LD,506372618,Pessoa Coletiva,10000 a 50000
DJOPO LD,506373061,Pessoa Coletiva,10000 a 50000
GREAT INSTITUTO BELEZA UNIPESSOAL LDA,506373339,Pessoa Coletiva,10000 a 50000
MOVEIS APERRELA LDA,506373355,Pessoa Coletiva,10000 a 50000
N.M.V. - FABRICO DE VESTUARIO UNIPESSOAL LDA,506375536,Pessoa Coletiva,10000 a 50000
SALA GOURMET ACTIVIDADES HOTELEIRAS UNIPESSOAL LD,506375978,Pessoa Coletiva,10000 a 50000
JORGE MANUEL RODRIGUES SOC TRANSPORTES UNIPESSOAL LDA,506376044,Pessoa Coletiva,10000 a 50000
BRANTINOX FABRICO DE EQUIPAMENTOS EM AÇO INOX E FRIO LDA,506376060,Pessoa Coletiva,10000 a 50000
BIOKRAFT INSTALACOES CLIMATIZACAO LDA,506376532,Pessoa Coletiva,10000 a 50000
"INCONCEPT - RESTAURAÇÃO, LDA",506376885,Pessoa Coletiva,10000 a 50000
WYKALTO GESTAO ADMINISTRACAO PROPRIEDADES UNIPESSOAL LDA,506377210,Pessoa Coletiva,10000 a 50000
"PÓVOA BOLOS - INDÚSTRIA DE PASTELARIA, LD - EM LIQUIDAÇÃO",506377563,Pessoa Coletiva,10000 a 50000
"CONSTRUÇÕES - CONSTRUARCOZELO, LDA",506377644,Pessoa Coletiva,10000 a 50000
MAEXPA PORTUGAL - INVESTIMENTOS IMOBILIARIOS S A,506377920,Pessoa Coletiva,10000 a 50000
LUTA II DISTRIBUIÇÃO DE PRODUTOS DE CONSUMO S. A.,506378667,Pessoa Coletiva,10000 a 50000
INIGMA SOCIEDADE DE MEDIACAO IMOBILIARIA LDA,506378772,Pessoa Coletiva,10000 a 50000
MINUSKA CABELEIREIROS LD,506379124,Pessoa Coletiva,10000 a 50000
VICTOR ROSA E FILHA LD,506379892,Pessoa Coletiva,10000 a 50000
ASSISTOFFICE EQUIPAMENTOS ESCRITORIO LDA,506380289,Pessoa Coletiva,10000 a 50000
"CÉU FERREIRA - CONFECÇÃO UNIPESSOAL, LDA - EM LIQUIDAÇÃO",506380653,Pessoa Coletiva,10000 a 50000
MITRARTE PUBLICIDADE E DESIGN LDA,506381617,Pessoa Coletiva,10000 a 50000
MASSA INSOLVENTE DE HORTICULAS CACHADA & MAGALHAES LDA,506381633,Pessoa Coletiva,10000 a 50000
"INSTITUTO DE NUTRIÇÃO ELEMENTAR - ISNE, LDA",506382630,Pessoa Coletiva,10000 a 50000
"DOM INFANTE CERVEJARIA MARISQUEIRA,LDA - EM LIQUIDAÇÃO",506382648,Pessoa Coletiva,10000 a 50000
GIGOAUTO LDA,506382680,Pessoa Coletiva,10000 a 50000
AVELINO RIBEIRO LD,506382877,Pessoa Coletiva,10000 a 50000
"MASSA INSOLVENTE DE BETOLIMA - TRANSPORTE DE BETÃO, UNIPESSOAL LDA - EM LIQUIDAÇÃO",506384489,Pessoa Coletiva,10000 a 50000
GALINHA E FS CARPINTARIA LD,506385388,Pessoa Coletiva,10000 a 50000
"A. BENTO - MONTAGENS E CANALIZAÇÕES, UNIPESSOAL LDA",506385485,Pessoa Coletiva,10000 a 50000
TEMPOS MODERNOS BAR DISCOTECA LD,506386252,Pessoa Coletiva,10000 a 50000
MANNORDESTE OFICINAS AUTO SR DOS AFLITOS LDA,506386325,Pessoa Coletiva,10000 a 50000
JOAQUIM COUTO CARPINTARIA UNIPESSOAL LDA,506386759,Pessoa Coletiva,10000 a 50000
MJGT COME3RCIALIZACAO EQUIPAMENTOS GRAFICOS UNIPESSOAL LD,506387763,Pessoa Coletiva,10000 a 50000
TRANSPORTES RUBIO UNIPESSOAL LDA,506388549,Pessoa Coletiva,10000 a 50000
TECHLUMEN TRANSFORMACAO ALUMINIOS LD,506389480,Pessoa Coletiva,10000 a 50000
HENRIQUE VARELA CONSTRUCAO REMODELACAO IMOVEIS UNIPESSOAL LDA,506389561,Pessoa Coletiva,10000 a 50000
STANIS RESTAURAÇÃO LD,506389596,Pessoa Coletiva,10000 a 50000
OLAIO & SILVA LDA,506389987,Pessoa Coletiva,10000 a 50000
SERVITRAILER - IMPORTAÇÃO E EXPORTAÇÃO DE VEÍCULOS INDUSTRIAIS LDA - EM LIQUIDAÇÃO,506389995,Pessoa Coletiva,10000 a 50000
MASSA INSOLVENTE DE STOANES COMPANY COMERCIO DE VESTUARIO LDA,506390039,Pessoa Coletiva,10000 a 50000
GOOSECONSTROI CONSTRUCAO CIVIL LDA,506390446,Pessoa Coletiva,10000 a 50000
"SOFEPRISMA, TOPOGRAFIA E PROJECTOS, UNIPESSOAL LDA",506391060,Pessoa Coletiva,10000 a 50000
"MÓVEIS PINTASSILGO, UNIPESSOAL LDA",506391736,Pessoa Coletiva,10000 a 50000
"ARQUIPLACE - INTERIORES E DESIGN, LDA.",506392112,Pessoa Coletiva,10000 a 50000
"REI & REI - SOCIEDADE CONSTRUÇÕES E REVESTIMENTOS, LDA",506392570,Pessoa Coletiva,10000 a 50000
CAFETARIA DIDI LDA,506392716,Pessoa Coletiva,10000 a 50000
DENTEVORA CLIN DENTARIA EVORA LD,506392759,Pessoa Coletiva,10000 a 50000
REDWATER CANALIZACOES LDA,506392937,Pessoa Coletiva,10000 a 50000
ESCOLA CONDUCAO BARLAVENTO LDA,506393615,Pessoa Coletiva,10000 a 50000
MAQTELHA MAQUINAS E COBERTURAS AUTOPORTANTES LDA,506394255,Pessoa Coletiva,10000 a 50000
"HSLAB - HIGIENE, SEGURANÇA NO TRABALHO E AMBIENTE",506395910,Pessoa Coletiva,10000 a 50000
DANITRANS TRANSPORTES NACIONAIS E INTERNACIONAIS LDA,506396363,Pessoa Coletiva,10000 a 50000
HIPOLITO MARTINS & ASSOCIADOS SOC TECNICOS OFICIAIS CONTAS,506396410,Pessoa Coletiva,10000 a 50000
"TERRAPLANAGENS BÚSSULA DO CENTRO, UNIPESSOAL, LDA",506396983,Pessoa Coletiva,10000 a 50000
"CJAM 4 - CABELEIREIROS, LDA",506397378,Pessoa Coletiva,10000 a 50000
CONTA LOIOS GABINETE DE CONTABILIDADE DOS LOIOS LDA,506398579,Pessoa Coletiva,10000 a 50000
"J.C. OLIVEIRA, MADEIRA E DERIVADOS LDA",506398846,Pessoa Coletiva,10000 a 50000
ZAMBEZIAMAR IMPORTAÇÃO EXPORTAÇÃO PRODUTOS ALIMENTARES UNIPESSOAL LDA,506399214,Pessoa Coletiva,10000 a 50000
DINOCONSTRUÇOES UNIPESSOAL LDA,506399273,Pessoa Coletiva,10000 a 50000
ALVES & NEVES LD,506400301,Pessoa Coletiva,10000 a 50000
MASSA INSOLVENTE DE MARIA MIRANDA SOUSA CONFECCOES UNIPESSOAL LDA,506400808,Pessoa Coletiva,10000 a 50000
V. & M. COELHO LDA - EM LIQUIDAÇÃO,506400930,Pessoa Coletiva,10000 a 50000
A MAGIA DO SOFA COMERCIO DE MOBILIARIO LDA,506400972,Pessoa Coletiva,10000 a 50000
"CELEIRO VERDE - DIETÉTICA, UNIPESSOAL LDA - EM LIQUIDAÇÃO",506401995,Pessoa Coletiva,10000 a 50000
ABREU & PEDROSO ARTES GRAFICAS PUBLICIDADE LDA,506402029,Pessoa Coletiva,10000 a 50000
"OMEGATIR - SOCIEDADE GESTORA DE PARTICIPAÇÕES SOCIAIS, LDA",506402282,Pessoa Coletiva,10000 a 50000
"JOFICARP - GABINETE DE SERVIÇOS UNIPESSOAL, LDA",506402517,Pessoa Coletiva,10000 a 50000
CANTACARSIL RESTAURACAO LD,506402606,Pessoa Coletiva,10000 a 50000
TABUANOBRE CARPINTARIA SOCIEDADE UNIPESSOAL LD,506402916,Pessoa Coletiva,10000 a 50000
SEPH - SOCIEDADE EMBALADORA DE PRODUTOS HORTÍCOLAS LDA,506403068,Pessoa Coletiva,10000 a 50000
"CONSTRUÇÕES CARVALHO & CERQUEIRA, LDA. - EM LIQUIDAÇÃO",506403572,Pessoa Coletiva,10000 a 50000
JOAO BENTO OLIVEIRA CONSTRUÇÕES E IMOBILIARIA LDA,506403998,Pessoa Coletiva,10000 a 50000
TAILOR DO VALE LIMPEZAS INDUSTRIAIS UNIPESSOAL LD,506404820,Pessoa Coletiva,10000 a 50000
ZONELAB LABORATÓRIO DE ACTIVIDADES FOTOGRÁFICAS LDA,506404838,Pessoa Coletiva,10000 a 50000
M IQBAL ELECTRONICS IMPORTAÇÃO EXPORTAÇÃO UNIPESSOAL LD,506404854,Pessoa Coletiva,10000 a 50000
"SALADAS E PRAZERES - RESTAURAÇÃO, LDA",506405362,Pessoa Coletiva,10000 a 50000
"MÁRIO BRANDÃO COSTA, UNIPESSOAL LDA - EM LIQUIDAÇÃO",506405435,Pessoa Coletiva,10000 a 50000
J SOARES COMERCIO PAPEL LDA,506405672,Pessoa Coletiva,10000 a 50000
MALAS COM HISTORIA COMERCIO MALAS LD,506405826,Pessoa Coletiva,10000 a 50000
"ESTAÇÃO TOTAL - TOPOGRAFIA, UNIPESSOAL, LDA",506405990,Pessoa Coletiva,10000 a 50000
HABI AREA SOCIEDADE CONSTRUCOES INVESTIMENTOS LDA,506406873,Pessoa Coletiva,10000 a 50000
BATISTA & VALENTE LDA,506407063,Pessoa Coletiva,10000 a 50000
SECODEX PRODUTOS ESPECIAIS PARA CONSTRUÇÃO UNIPESSOAL LDA,506407314,Pessoa Coletiva,10000 a 50000
"FERNANDES & FRANCO-INSTALAÇÕES TÉCNICAS, LDA",506407985,Pessoa Coletiva,10000 a 50000
VASCO COSTA & MONTEIRO LD,506408302,Pessoa Coletiva,10000 a 50000
VERNICAR IMPORTAÇÃO DE TINTAS E EQUIPAMENTOS AUTO LD,506408310,Pessoa Coletiva,10000 a 50000
BSB RESTAURACAO LD,506408612,Pessoa Coletiva,10000 a 50000
CAFÉ DA CIDADE ACTIVIDADES RESTAURAÇÃO LDA.,506408663,Pessoa Coletiva,10000 a 50000
TOUCH ARTES GRAFICAS LD,506409392,Pessoa Coletiva,10000 a 50000
"GUIMA TUNING COMÉRCIO DE ACESSÓRIOS AUTO, LDA",506410790,Pessoa Coletiva,10000 a 50000
DIANABRITAS TRANSFORMACAO COMERCIALIZACAO PEDRA LD,506410919,Pessoa Coletiva,10000 a 50000
MANDRAGORA IMP EXP DISTR PRODUTOS ALIMENTARES UNIPESSOAL LD,506411826,Pessoa Coletiva,10000 a 50000
VIALFERPAÇOS - ALUMINIOS UNIPESSOAL LDA,506412024,Pessoa Coletiva,10000 a 50000
FRANCISCO BARBOSA GONCALVES & FILHOS LDA,506413225,Pessoa Coletiva,10000 a 50000
MANUEL JOAQUIM PEREIRA DA SILVA UNIPESSOAL LDA,506413357,Pessoa Coletiva,10000 a 50000
"A & ROSA CARDOSO MALHAS, LDA",506413950,Pessoa Coletiva,10000 a 50000
RIGHTSCALE SERVIÇOS GESTAO CONSULTORIA REPRESENTAÇOES LDA,506414019,Pessoa Coletiva,10000 a 50000
ANTONIO MANUEL DOMINGUES FERNANDES LDA,506414132,Pessoa Coletiva,10000 a 50000
BANHAMBSSI UNIPESSOAL LD,506414191,Pessoa Coletiva,10000 a 50000
ZOMIC INDÚSTRIA E COMÉRCIO DE PREGOS LDA,506414728,Pessoa Coletiva,10000 a 50000
"AGRONOVAIS - AGRO - PECUÁRIA, LDA",506414760,Pessoa Coletiva,10000 a 50000
"RESTAURACAMPO - EXPLORAÇÃO DE RESTAURANTES, LDA",506414876,Pessoa Coletiva,10000 a 50000
"JESSILAR - IMPORTAÇÃO E COMÉRCIO DE TAPEÇARIAS E ARTIGOS PARA O LAR, LDA, EM LIQUIDAÇÃO",506414922,Pessoa Coletiva,10000 a 50000
PRIMO & PENUCHO MOBILE SERVICOS COMERCIO EQUIP TELECOMUNICOES LDA,506415155,Pessoa Coletiva,10000 a 50000
"SILVERCOD - COMÉRCIO E INDÚSTRIA DE PRODUTOS ALIMENTARES, S.A. - EM LIQUIDAÇÃO",506415228,Pessoa Coletiva,10000 a 50000
CONSTRUÇÕES CARLOS PINHEIRO & SILVA LDA EM LIQUIDAÇÃO,506415490,Pessoa Coletiva,10000 a 50000
"MADALENA MIRANDA, UNIPESSOAL, LDA",506416194,Pessoa Coletiva,10000 a 50000
SOCIEDADE DE CONSTRUCOES MALHAO LDA,506416534,Pessoa Coletiva,10000 a 50000
TRIOCANO CANALIZAÇOES LD,506416690,Pessoa Coletiva,10000 a 50000
MESSIER - COMPRA E VENDA DE IMÓVEIS S.A.,506417077,Pessoa Coletiva,10000 a 50000
FRESCOS D HOJE COMÉRCIO DE PRODUTOS ALIMENTARES LDA,506419479,Pessoa Coletiva,10000 a 50000
M. FERNANDO MAGALHAES LDA,506420272,Pessoa Coletiva,10000 a 50000
"RESIORMA - GESTÃO DE RESIDUOS, LDA",506420507,Pessoa Coletiva,10000 a 50000
CARPINTARIA ALHANDRENSE SERVIÇOS DE CARPINTARIA E MARCENARIA LD,506420930,Pessoa Coletiva,10000 a 50000
TALHO PEQUENO UNIPESSOAL LDA,506421252,Pessoa Coletiva,10000 a 50000
INQUATROLOGIC COM EQUIPAMENTOS INFOMATICOS LDA,506421325,Pessoa Coletiva,10000 a 50000
TIMOTEO CADAO UNIPESSOAL LD,506421384,Pessoa Coletiva,10000 a 50000
"GARAGEM MORCELA, LDA.",506422100,Pessoa Coletiva,10000 a 50000
TOALHA PROTEGIDA TRATAMENTO DE ROUPA LDA,506422526,Pessoa Coletiva,10000 a 50000
JORGE MANUEL BRITO DESPACHANTE OFICIAL UNIPESSOAL LDA,506422690,Pessoa Coletiva,10000 a 50000
"VDF - PINTURA EDIFÍCIOS UNIPESSOAL, LDA",506423662,Pessoa Coletiva,10000 a 50000
BARBOSA & SOFIA LDA,506423832,Pessoa Coletiva,10000 a 50000
LEOLISMAR INSTALACOES ELECTRICAS UNIPESSOAL LD,506426998,Pessoa Coletiva,10000 a 50000
JOÃO & BRUNO - CONSTRUÇÃO CIVIL LDA,506427595,Pessoa Coletiva,10000 a 50000
"NAVEDIESEL - MECÂNICA NAVAL, UNIPESSOAL LDA",506427730,Pessoa Coletiva,10000 a 50000
"JOÃO BONIFACIO PEREIRA DA SILVA-ARMADOR DE FERRO-SOCIEDADE UNIPESSOAL,LDA (EM LIQUIDAÇÃO)",506428222,Pessoa Coletiva,10000 a 50000
"LOPES & LEAL, ACTIVIDADES HOTELEIRAS LDA - EM LIQUIDAÇÃO",506428672,Pessoa Coletiva,10000 a 50000
WAYOFCOM REDES E COMUNICAÇÕES LD,506428729,Pessoa Coletiva,10000 a 50000
TRANSMONSARAZ TRANSPORTES LDA,506428966,Pessoa Coletiva,10000 a 50000
"CORTIÇAS AVENIDA, UNIPESSOAL LDA",506429407,Pessoa Coletiva,10000 a 50000
JOAQUIM CLAUDIO LUIS CARPINTARIAS LIMPOS UNIPESSOAL LD,506430448,Pessoa Coletiva,10000 a 50000
AMADO SARAIVA & MAGALHAES LDA,506430731,Pessoa Coletiva,10000 a 50000
"CARPIGAF - CARPINTARIA E DECORAÇÃO, SOCIEDADE UNIPESSOAL, LDA - EM LIQUIDAÇÃO",506431088,Pessoa Coletiva,10000 a 50000
JOSE RIBEIRO BARBOSA UNIPESSOAL LD,506431720,Pessoa Coletiva,10000 a 50000
COLORSIT SOCIEDADE DE CONSTRUCAO LDA,506432408,Pessoa Coletiva,10000 a 50000
"ARTUR J. T. FERREIRA,LDA",506432602,Pessoa Coletiva,10000 a 50000
KORPUS SAPIENS INDUSTRIA HOTELEIRA UNIPESSOAL LDA,506432661,Pessoa Coletiva,10000 a 50000
MAQUISANTOS CONSTRUÇÃO CIVIL E COMÉRCIO DE EQUIPAMENTOS PARA A CONSTRUÇÃO LDA,506434672,Pessoa Coletiva,10000 a 50000
"TRANSROTATIVOS -TRANSPORTES, LDA",506434885,Pessoa Coletiva,10000 a 50000
KINESCOPIO VIDEOCLUBE SOCIEDADE UNIPESSOAL LD,506435393,Pessoa Coletiva,10000 a 50000
AGRICARDOSO - PRESTAÇÃO DE SERVIÇOS AGRÍCOLAS LDA,506435792,Pessoa Coletiva,10000 a 50000
ANTÓNIO ALVES DE FARIA & FILHOS LDA,506436098,Pessoa Coletiva,10000 a 50000
RIGHT FLAG IMPORTACAO EXPORTACAO TEXTEIS LD,506436187,Pessoa Coletiva,10000 a 50000
"KORPOMANIA - GINASIO, LDA",506436853,Pessoa Coletiva,10000 a 50000
"MASSA INSOLVENTE DE BORDAPISCA - INDÚSTRIA DE BORDADOS, LDA",506437477,Pessoa Coletiva,10000 a 50000
"CONSTRUÇÕES CASOLA & LOPES, LD",506438589,Pessoa Coletiva,10000 a 50000
EXPRESSLORD - DISTRIBUIÇÃO E LOGISTICA LDA,506438813,Pessoa Coletiva,10000 a 50000
"ONDAREST - RESTAURAÇÃO E PRODUTOS ALIMENTARES, UNIPESSOAL, LDA",506439232,Pessoa Coletiva,10000 a 50000
CONSTRUÇÕES ABILIO FREI UNIPESSOAL LD,506440150,Pessoa Coletiva,10000 a 50000
BATISTA PEREIRA E PEREIRA LDA,506440923,Pessoa Coletiva,10000 a 50000
"ARE-SOCIEDADE DE CONSTRUÇÃO CIVIL, UNIPESSOAL LDA",506441210,Pessoa Coletiva,10000 a 50000
"JOAQUIM RODRIGUES MENDONÇA, SOCIEDADE UNIPESSOAL LDA",506441318,Pessoa Coletiva,10000 a 50000
MARQUES & PINTO LDA,506441490,Pessoa Coletiva,10000 a 50000
QUELUZMAR COMERCIO RETALHO PEIXE FRESCO CRUSTACEOS MOLUSCOS LD,506441989,Pessoa Coletiva,10000 a 50000
SEFIR SOCIEDADE DE EMPREITADAS S A,506442217,Pessoa Coletiva,10000 a 50000
"ALGARGESSO - CONSTRUÇÕES, LDA.",506443205,Pessoa Coletiva,10000 a 50000
MANUEL DE AZEVEDO UNIPESSOAL LDA,506443353,Pessoa Coletiva,10000 a 50000
STUDIO ALLURE CABELEIREIRO E ESTÉTICA LDA,506443744,Pessoa Coletiva,10000 a 50000
TECNOVEST - COMERCIO MATERIAL DE PROTECÇÃO E SEGURANÇA NO TRABALHO UNIPESSOAL LD,506444112,Pessoa Coletiva,10000 a 50000
CONSTRUÇAO PICO AGUDO LD,506444465,Pessoa Coletiva,10000 a 50000
"MINISTRUSCAR - REPARAÇÃO DE AUTOMÓVEIS MULTIMARCAS UNIPESSOAL, LIMITADA - EM LIQUIDAÇÃO",506444929,Pessoa Coletiva,10000 a 50000
NORPAPEL COMERCIO DE PAPEL E EMBALAGENS LDA,506444961,Pessoa Coletiva,10000 a 50000
"BARCAINVEST - SOCIEDADE DE CONSTRUÇÕES, LDA - EM LIQUIDAÇÃO",506445020,Pessoa Coletiva,10000 a 50000
FLEXIPONTO INSTALAÇÕES ELECTRICAS LDA,506445356,Pessoa Coletiva,10000 a 50000
RESENTERRAS COMERCIO DE MATERIAL DE CONSTRUÇÃO LDA,506445380,Pessoa Coletiva,10000 a 50000
DYNAMIC CABLE - SERVIÇOS DE MULTIMÉDIA UNIPESSOAL LD,506445542,Pessoa Coletiva,10000 a 50000
CECULA CONSTRUCOES LD,506446522,Pessoa Coletiva,10000 a 50000
JACINTO RIBEIRO DA CUNHA & IRMAO LDA,506446646,Pessoa Coletiva,10000 a 50000
LOULIMPE- PRESTAÇÃO DE SERVIÇOS LIMPEZA UNIPESSOAL LDA,506447723,Pessoa Coletiva,10000 a 50000
"COTTON ROUTE, VESTUÁRIO E MOBILIÁRIO LDA - EM LIQUIDAÇÃO",506448100,Pessoa Coletiva,10000 a 50000
CAPILLARIS FABRICO E REPRESENTACOES DE PRODUTOS DE BELEZA E PERFUMES SOCIEDADE UNIPESSOAL LDA,506448355,Pessoa Coletiva,10000 a 50000
CONFECÇOES KATY UNIPESSOAL LDA,506448363,Pessoa Coletiva,10000 a 50000
"FRIGOPRATA - PRODUTOS ALIMENTARES, UNIPESSOAL LDA",506448819,Pessoa Coletiva,10000 a 50000
CONSTRUCOES COSTA & CURVAL LD,506449548,Pessoa Coletiva,10000 a 50000
LUIS AUGUSTO AMARAL PINTO DA SILVA UNIPESSOAL LD,506449904,Pessoa Coletiva,10000 a 50000
RICSILV PRODUTOS ALIMENTARES SOCIEDADE UNIPESSOAL LD,506450023,Pessoa Coletiva,10000 a 50000
ARVORE DAS PATACAS ACTIVIDADES HOTELEIRAS LD,506450384,Pessoa Coletiva,10000 a 50000
"TIBORNA RESTAURANTES, LDA",506450511,Pessoa Coletiva,10000 a 50000
MACENA & MACHADO LDA,506451119,Pessoa Coletiva,10000 a 50000
ARCOBUS INSTALACAO COMPONENTES PARA AUTOCARROS LD,506451410,Pessoa Coletiva,10000 a 50000
GESTEBAIRRO ADMINISTRACAO E GESTAO DE IMOVEIS S A,506451470,Pessoa Coletiva,10000 a 50000
"VITALINA GODINHO - UNIPESSOAL, LD",506452093,Pessoa Coletiva,10000 a 50000
NOCENTRO ACTIVIDADES HOTELEIRAS RESTAURAÇÃO LD,506452751,Pessoa Coletiva,10000 a 50000
MADEIGOMES COMERCIO DE MADEIRAS LDA,506452972,Pessoa Coletiva,10000 a 50000
UZMAH CONSTRUCAO CIVIL LDA,506453618,Pessoa Coletiva,10000 a 50000
AGOSTINHO E ROSA LD,506454304,Pessoa Coletiva,10000 a 50000
TECSYSPAINEL PAINEIS ELECTRONICOS UNIPESSOAL LD,506454428,Pessoa Coletiva,10000 a 50000
BEPROFIT SERVIÇOS MARKETING LOGÍSTICA DISTRIBUIÇÃO PUBLICAÇÕES LDA,506454525,Pessoa Coletiva,10000 a 50000
"FARMÁCIA MODERNA DE DR. MANUEL JOSÉ RODRIGUES DIONÍSIO, LDA",506455076,Pessoa Coletiva,10000 a 50000
PADARIA PASTELARIA PIZZARIA FLOR DE BRAGANÇA LDA,506455122,Pessoa Coletiva,10000 a 50000
AGRO- PECUÁRIA OS CATEMBEIROS LDA,506457419,Pessoa Coletiva,10000 a 50000
WATERGYM GESTAO ESPACOS AQUATICOS DESPORTIVOS LAZER LD,506458318,Pessoa Coletiva,10000 a 50000
FERNANDO PEREIRA & INES LDA,506458652,Pessoa Coletiva,10000 a 50000
NPECAS COMERCIO ACESSORIOS AUTOMOVEIS LD,506458776,Pessoa Coletiva,10000 a 50000
"MARIA FLORINDA BELCHIOR GRENHA TAVARES - COMÉRCIO DE CONFECÇÕES, UNIPESSOAL LDA - EM LIQUIDAÇÃO",506459284,Pessoa Coletiva,10000 a 50000
"BRUNO GAMA SANTOS, UNIPESSOAL, LDA.",506459861,Pessoa Coletiva,10000 a 50000
FERNANDO LUIS & PEREIRA LD,506461785,Pessoa Coletiva,10000 a 50000
"NEOCOURO - COMPONENTES PARA A INDÚSTRIA DE CALÇADO, UNIPESSOAL LDA",506461831,Pessoa Coletiva,10000 a 50000
RICA DOÇURA - EXPLORAÇÃO DE PASTELARIAS LDA,506462331,Pessoa Coletiva,10000 a 50000
DUQUE DIAS PERNES E SILVA LD,506463001,Pessoa Coletiva,10000 a 50000
"TOQUE FINAL - LIMPEZAS ,UNIPESSOAL LDA",506463613,Pessoa Coletiva,10000 a 50000
CADIMA & CADIMA LDA,506463737,Pessoa Coletiva,10000 a 50000
MOCOS INDUSTRIA DE MOBILIARIO LDA,506464040,Pessoa Coletiva,10000 a 50000
VERO PIZZARIA CAFETARIA UNIPESSOAL LD,506464890,Pessoa Coletiva,10000 a 50000
"QUEIRAS E XEDAS, LDA",506466027,Pessoa Coletiva,10000 a 50000
"FERNANDO & SÉRGIO, LDA",506466035,Pessoa Coletiva,10000 a 50000
EUROBREJO TRANSPORTES MERCADORIAS UNIPESSOAL LDA,506466469,Pessoa Coletiva,10000 a 50000
"MASSA INSOLVENTE - ROSA MARIA SOARES, UNIPESSOAL LDA",506466515,Pessoa Coletiva,10000 a 50000
ABILIO PEREIRA CERQUEIRA CONSTRUCOES UNIPESSOAL LDA,506467678,Pessoa Coletiva,10000 a 50000
"DOMUSEVOLUTION - SOCIEDADE DE MEDIAÇÃO IMOBILIÁRIA ,UNIPESSOAL LDA",506468356,Pessoa Coletiva,10000 a 50000
CONSTRUÇÕES TARCÍSIO COSTA & FILHA LDA - EM LIQUIDAÇÃO,506469344,Pessoa Coletiva,10000 a 50000
"FILIPENGOMA, LDA",506469557,Pessoa Coletiva,10000 a 50000
"PASTELARIA FLOR DE LOULÉ LDA, EM LIQUIDAÇÃO",506469816,Pessoa Coletiva,10000 a 50000
"A. C. FERNANDES, UNIPESSOAL LDA EM LIQUIDAÇÂO",506469840,Pessoa Coletiva,10000 a 50000
B C SILVA CONSTRUÇOES E MONTAGENS METALICAS UNIPESSOAL LDA,506469921,Pessoa Coletiva,10000 a 50000
UTILCASH COMERCIO BRINDES SOCIEDADE UNIPESSOAL LD,506469972,Pessoa Coletiva,10000 a 50000
FERNANDO A. R. LOPES - UNIPESSOAL LDA - EM LIQUIDAÇÃO,506471586,Pessoa Coletiva,10000 a 50000
ISIDEI AGENCIA DE VIAGENS E TURISMO UNIPESSOAL LDA,506471780,Pessoa Coletiva,10000 a 50000
BARCA DO AROUCE - RESTAURAÇÃO UNIPESSOAL LDA,506472345,Pessoa Coletiva,10000 a 50000
"MASSA INSOLVENTE ÁSERVES, LDA",506472779,Pessoa Coletiva,10000 a 50000
"TEXRENT - TRANSPORTES E ALUGUER DE VEICULOS DE MERCADORIAS,S.A.",506473252,Pessoa Coletiva,10000 a 50000
"LARISSA-SOCIEDADE DE MEDIAÇÃO IMOBILIARIA,UNIPESSOAL,LDA",506473619,Pessoa Coletiva,10000 a 50000
STEAM KING CALDEIRAS INDUSTRIAIS SOCIEDADE UNIPESSOAL LD,506473732,Pessoa Coletiva,10000 a 50000
RAYE BLEUE TEXTEIS LD,506475263,Pessoa Coletiva,10000 a 50000
PEDRA E FOGO LAREIRAS AQUECIMENTO E REVESTIMENTOS LDA,506476090,Pessoa Coletiva,10000 a 50000
CONDSAFE GESTAO DE CONDOMINIOS UNIPESSOAL LDA,506476146,Pessoa Coletiva,10000 a 50000
GESPURA- SGPS S.A.,506476723,Pessoa Coletiva,10000 a 50000
MASTERLAR - COMÉRCIO DE ARTIGOS PARA O LAR LDA - SOCIEDADE EM LIQUIDAÇÃO,506477576,Pessoa Coletiva,10000 a 50000
VILACALOR LAREIRAS E RECUPERADORES UNIPESSOAL LDA,506478343,Pessoa Coletiva,10000 a 50000
LUSICONSTRUÇÕES - CONSTRUÇÃO CIVIL UNIPESSOAL LDA,506478467,Pessoa Coletiva,10000 a 50000
FORMIGAS TRABALHADORAS CONSTRUCAO TRANSPORTES UNIPESSOAL LD,506478726,Pessoa Coletiva,10000 a 50000
